"Year"|"Company"|"Rights Ratio"|"FV"|"Premium"|"Announcement"|"Record"|"Ex-Rights"
"2010"|"TV18 Broadcast"|"3:10"|"2"|"92"|"24-09-09"|"04-03-10"|"03-03-10"
"2010"|"Intellivate Cap"|"5:1"|"10"|"40"|"21-08-09"|"03-03-10"|"02-03-10"
"2010"|"Andhra Paper"|"3:11"|"10"|"40"|"31-07-09"|"24-02-10"|"23-02-10"
"2010"|"Arihant Super"|"59:1"|"10"|"0"|"24-09-09"|"05-03-10"|"19-02-10"
"2010"|"Jayshree Chem"|"9:2"|"10"|"5"|"01-08-09"|"18-02-10"|"17-02-10"
"2010"|"SML Isuzu"|"19:50"|"10"|"190"|"19-03-09"|"10-02-10"|"09-02-10"
"2010"|"Hinduja Found"|"7:13"|"10"|"40"|"19-06-09"|"04-02-10"|"03-02-10"
"2010"|"Religare Enterp"|"2:3"|"10"|"345"|"30-10-08"|"18-01-10"|"15-01-10"
"2011"|"Veljan Denison"|"1:4"|"10"|"0"|"30-04-08"|"05-10-11"|"04-10-11"
"2011"|"Bajaj Hindustha"|"2:1"|"1"|"35"|"30-04-11"|"22-09-11"|"21-09-11"
"2011"|"Atul Auto"|"1:4"|"10"|"20"|"25-06-10"|"05-09-11"|"02-09-11"
"2011"|"Velan Hotels"|"69:20"|"10"|"13"|"17-12-10"|"00-00-00"|"08-08-11"
"2011"|"Arvind Intl"|"6:5"|"10"|"4"|"31-01-11"|"02-08-11"|"01-08-11"
"2011"|"JK Paper"|"3:4"|"10"|"32"|"28-01-11"|"27-07-11"|"26-07-11"
"2011"|"JK Paper"|"3:4"|"10"|"32"|"15-07-11"|"27-07-11"|"26-07-11"
"2011"|"El Forge"|"3:2"|"10"|"0"|"15-07-10"|"30-06-11"|"29-06-11"
"2011"|"Auto Stampings"|"5:9"|"10"|"42"|"23-10-09"|"10-06-11"|"09-06-11"
"2011"|"Wintac"|"1:3"|"10"|"23"|"18-03-10"|"27-05-11"|"26-05-11"
"2011"|"Muthoot Cap"|"1:1"|"10"|"70"|"21-05-09"|"25-05-11"|"24-05-11"
"2011"|"BAMPSL Sec"|"2:1"|"1"|"0"|"02-03-10"|"20-04-11"|"19-04-11"
"2011"|"Central Bank"|"3:5"|"10"|"93"|"29-07-10"|"18-03-11"|"17-03-11"
"2011"|"State B Bikaner"|"2:5"|"10"|"380"|"18-10-10"|"17-03-11"|"16-03-11"
