"Year"|"Company"|"Old FV"|"New FV"|"Split Date"
"2008"|"Bafna Spinning"|"10"|"5"|"18-09-2008"
"2008"|"Take Solutions"|"10"|"1"|"18-09-2008"
"2008"|"Era Infra Eng"|"10"|"2"|"17-09-2008"
"2008"|"Gemini Comm"|"5"|"1"|"17-09-2008"
"2008"|"Hercules Hoists"|"10"|"1"|"17-09-2008"
"2008"|"Adinath Bio-Lab"|"10"|"1"|"15-09-2008"
"2008"|"AI Champdany"|"10"|"5"|"11-09-2008"
"2008"|"JM Financial"|"10"|"1"|"08-09-2008"
"2008"|"JTEKT India Add to Watchlist"|"2"|"1"|"02-09-2008"
"2008"|"Mavens Biotech"|"10"|"1"|"25-08-2008"
"2008"|"Kokuyo Camlin"|"10"|"1"|"22-08-2008"
"2008"|"GS Auto"|"10"|"5"|"20-08-2008"
"2008"|"Vedanta"|"10"|"1"|"08-08-2008"
"2008"|"IIFL Finance"|"10"|"2"|"08-08-2008"
"2008"|"Graviss Hosp"|"10"|"2"|"04-08-2008"
"2008"|"Diana Tea"|"2"|"5"|"30-07-2008"
"2008"|"Motilal Oswal"|"5"|"1"|"25-07-2008"
"2008"|"Hatsun Agro"|"10"|"2"|"17-07-2008"
"2008"|"Madras Aluminiu"|"10"|"2"|"17-07-2008"
"2008"|"Tricom India"|"10"|"2"|"15-07-2008"
"2008"|"Fast Track"|"1"|"10"|"14-07-2008"
"2008"|"Millennium Cybe"|"1"|"10"|"14-07-2008"
"2008"|"AB Money"|"10"|"1"|"11-07-2008"
"2008"|"Eastern Silk"|"10"|"2"|"27-06-2008"
"2008"|"MIC Electronics"|"10"|"2"|"27-06-2008"
"2008"|"Tribhuvan House"|"10"|"5"|"02-06-2008"
"2008"|"Cals Refineries"|"10"|"1"|"28-05-2008"
"2008"|"Dollex Ind"|"10"|"5"|"12-05-2008"
"2008"|"Tanla Solutions"|"2"|"1"|"02-05-2008"
"2008"|"Evinix"|"10"|"1"|"29-04-2008"
"2008"|"Alchemist Real"|"10"|"2"|"25-04-2008"
"2008"|"CenturyPlyboard"|"10"|"1"|"24-04-2008"
"2008"|"NMDC"|"10"|"1"|"10-04-2008"
"2008"|"Shree Renuka"|"10"|"1"|"10-04-2008"
"2008"|"Karuturi Global"|"10"|"1"|"04-04-2008"
"2008"|"Crazy Infotech"|"10"|"1"|"28-03-2008"
