"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"BS Limited"|"Final"|"10.00"|"30-05-2012"|"-"|"21-09-2012"
"Choice Internat"|"Final"|"10.00"|"14-08-2012"|"-"|"21-09-2012"
"Futuristic Sol"|"Final"|"8.00"|"11-05-2012"|"-"|"21-09-2012"
"Gowra Leasing"|"Final"|"10.00"|"30-05-2012"|"-"|"21-09-2012"
"Global Offshore"|"Final"|"7.00"|"31-07-2012"|"-"|"21-09-2012"
"Inani Marbles"|"Final"|"10.00"|"06-06-2012"|"-"|"21-09-2012"
"JagsonpalPharma"|"Final"|"10.00"|"01-06-2012"|"-"|"21-09-2012"
"Jindal Photo"|"Final"|"10.00"|"30-08-2012"|"-"|"21-09-2012"
"Karma Energy"|"Final"|"5.00"|"13-08-2012"|"-"|"21-09-2012"
"Kamdhenu"|"Final"|"5.00"|"30-05-2012"|"-"|"21-09-2012"
"KPT Industries"|"Final"|"12.50"|"29-05-2012"|"-"|"21-09-2012"
"Lords Chemicals"|"Final"|"5.00"|"06-09-2012"|"-"|"21-09-2012"
"Lokesh Machines"|"Final"|"5.00"|"14-08-2012"|"-"|"21-09-2012"
"Metal Coatings"|"Final"|"10.00"|"22-08-2012"|"-"|"21-09-2012"
"Madhucon Proj"|"Final"|"10.00"|"28-08-2012"|"-"|"21-09-2012"
"Nikhil Adhesive"|"Final"|"8.00"|"31-05-2012"|"-"|"21-09-2012"
"NG Industries"|"Final"|"35.00"|"30-05-2012"|"-"|"21-09-2012"
"Opto Circuits"|"Final"|"30.00"|"22-05-2012"|"-"|"21-09-2012"
"Prakash Ind"|"Final"|"10.00"|"29-05-2012"|"-"|"21-09-2012"
"Alchemist Real"|"Final"|"5.00"|"14-08-2012"|"-"|"21-09-2012"
"aurionPro Sol"|"Final"|"10.00"|"29-08-2012"|"-"|"21-09-2012"
"Rander Corp"|"Final"|"6.00"|"29-05-2012"|"-"|"21-09-2012"
"Som Distillerie"|"Final"|"10.00"|"15-05-2012"|"-"|"21-09-2012"
"Shiva Global"|"Final"|"10.00"|"31-05-2012"|"-"|"21-09-2012"
"Sika Interplant"|"Final"|"6.00"|"21-08-2012"|"-"|"21-09-2012"
"IndiaNivesh"|"Final"|"10.00"|"31-08-2012"|"-"|"21-09-2012"
"Jindal Saw"|"Final"|"50.00"|"30-05-2012"|"-"|"21-09-2012"
"SRS Real Infra"|"Final"|"10.00"|"30-08-2012"|"-"|"21-09-2012"
"Tera Software"|"Final"|"20.00"|"22-08-2012"|"-"|"21-09-2012"
"United Brewerie"|"Final"|"70.00"|"08-06-2012"|"-"|"21-09-2012"
"UCAL Fuel"|"Final"|"40.00"|"10-08-2012"|"-"|"21-09-2012"
"Vivimed Labs"|"Final"|"30.00"|"31-05-2012"|"-"|"21-09-2012"
